Hostname,RunList
cloudstorsyd0403.softlayer.local,"role[cloudstor]"
cloudstorsyd0501.softlayer.local,"role[cloudstor]"
cloudstorsyd0502.softlayer.local,"role[cloudstor]"
cloudstorsyd0503.softlayer.local,"role[cloudstor]"
cloudstortok0201.softlayer.local,"role[cloudstor]"
cloudstortok0202.softlayer.local,"role[cloudstor]"
cloudstortok0203.softlayer.local,"role[cloudstor]"
cloudstortok0401.softlayer.local,"role[cloudstor]"
cloudstortok0402.softlayer.local,"role[cloudstor]"
cloudstortok0403.softlayer.local,"role[cloudstor]"
cloudstortok0501.softlayer.local,"role[cloudstor]"
cloudstortok0502.softlayer.local,"role[cloudstor]"
cloudstortok0503.softlayer.local,"role[cloudstor]"
cloudstortor0101.softlayer.local,"role[cloudstor]"
cloudstortor0102.softlayer.local,"role[cloudstor]"
cloudstortor0103.softlayer.local,"role[cloudstor]"
cloudstortor0401.softlayer.local,"role[cloudstor]"
cloudstortor0402.softlayer.local,"role[cloudstor]"
cloudstortor0403.softlayer.local,"role[cloudstor]"
cloudstortor0501.softlayer.local,"role[cloudstor]"
cloudstortor0502.softlayer.local,"role[cloudstor]"
cloudstortor0503.softlayer.local,"role[cloudstor]"
cloudstorwdc0401.softlayer.local,"role[cloudstor]"
cloudstorwdc0402.softlayer.local,"role[cloudstor]"
cloudstorwdc0403.softlayer.local,"role[cloudstor]"
cloudstorwdc0601.softlayer.local,"role[cloudstor]"
cloudstorwdc0602.softlayer.local,"role[cloudstor]"
cloudstorwdc0603.softlayer.local,"role[cloudstor]"
cloudstorwdc0701.softlayer.local,"role[cloudstor]"
cloudstorwdc0702.softlayer.local,"role[cloudstor]"
cloudstorwdc0703.softlayer.local,"role[cloudstor]"
comcrondal1001a.softlayer.local,"role[fabric_devauto_base]"
comcrondal1001b.softlayer.local,"role[fabric_devauto_base]"
comcronwdc0401a.softlayer.local,"role[fabric_devauto_base]"
comcronwdc0401b.softlayer.local,"role[fabric_devauto_base]"
compbuilddal1001.softlayer.local,"role[compute_depl]"
compcontainersdal1001a.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1001b.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1001c.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1201a.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1201b.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1201c.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1301a.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1301b.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1301c.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1401a.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1401b.softlayer.local,"role[compute_kubernetes]"
compcontainersdal1401c.softlayer.local,"role[compute_kubernetes]"
compcontainersdevdal0901a.softlayer.local,"role[compute_kubernetes], recipe[uptycs]"
compcontainersdevdal0901b.softlayer.local,"role[compute_kubernetes], recipe[uptycs]"
compcontainersdevdal0901c.softlayer.local,"role[compute_kubernetes], recipe[uptycs]"
compcontainersdevdal0901d.softlayer.local,"role[compute_kubernetes], recipe[uptycs]"
compcontainersfra0201a.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0201b.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0201c.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0401a.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0401b.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0401c.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0501a.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0501b.softlayer.local,"role[compute_kubernetes]"
compcontainersfra0501c.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0201a.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0201b.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0201c.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0401a.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0401b.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0401c.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0501a.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0501b.softlayer.local,"role[compute_kubernetes]"
compcontainerslon0501c.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0201a.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0201b.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0201c.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0401a.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0401b.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0401c.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0501a.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0501b.softlayer.local,"role[compute_kubernetes]"
compcontainersmad0501c.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2101a.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2101b.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2101c.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2201a.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2201b.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2201c.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2301a.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2301b.softlayer.local,"role[compute_kubernetes]"
compcontainersosa2301c.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0401a.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0401b.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0401c.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0501a.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0501b.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0501c.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0601a.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0601b.softlayer.local,"role[compute_kubernetes]"
compcontainerspar0601c.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0101a.softlayer.local,"role[compute_kubernetes]"
compcontainerssao0101b.softlayer.local,"role[compute_kubernetes]"
